x,y,numerical,analytical
0.529412,0.176471,-0.0333148,-0.0333147
0.54902,0.176471,-0.0553842,-0.0553841
0.568627,0.176471,-0.0772436,-0.0772434
0.588235,0.176471,-0.0988099,-0.0988097
0.607843,0.176471,-0.120001,-0.120001
0.627451,0.176471,-0.140738,-0.140737
0.647059,0.176471,-0.16094,-0.16094
0.666667,0.176471,-0.180532,-0.180532
0.686275,0.176471,-0.199439,-0.199439
0.705882,0.176471,-0.21759,-0.217589
0.72549,0.176471,-0.234915,-0.234914
0.745098,0.176471,-0.251349,-0.251349
0.764706,0.176471,-0.26683,-0.266829
0.784314,0.176471,-0.281298,-0.281298
0.803922,0.176471,-0.294699,-0.294699
0.823529,0.176471,-0.306983,-0.306982
0.843137,0.176471,-0.318102,-0.318101
0.862745,0.176471,-0.328014,-0.328014
0.882353,0.176471,-0.336682,-0.336682
0.901961,0.176471,-0.344073,-0.344073
0.921569,0.176471,-0.350159,-0.350158
0.941176,0.176471,-0.354916,-0.354916
0.960784,0.176471,-0.358328,-0.358327
0.980392,0.176471,-0.360379,-0.360379
0.0196078,0.196078,0.061414,0.0614138
0.0392157,0.196078,0.0610643,0.0610642
0.0588235,0.196078,0.060483,0.0604829
0.0784314,0.196078,0.0596722,0.0596721
0.0980392,0.196078,0.0586352,0.058635
0.117647,0.196078,0.0573756,0.0573755
0.137255,0.196078,0.0558985,0.0558984
0.156863,0.196078,0.0542093,0.0542092
0.176471,0.196078,0.0523144,0.0523143
0.196078,0.196078,0.0502211,0.050221
0.215686,0.196078,0.0479373,0.0479372
0.235294,0.196078,0.0454717,0.0454716
0.254902,0.196078,0.0428336,0.0428335
0.27451,0.196078,0.040033,0.0400329
0.294118,0.196078,0.0370805,0.0370804
0.313725,0.196078,0.0339874,0.0339873
0.333333,0.196078,0.0307653,0.0307653
0.352941,0.196078,0.0274266,0.0274265
0.372549,0.196078,0.0239838,0.0239837
0.392157,0.196078,0.02045,0.02045
0.411765,0.196078,0.0168387,0.0168386
0.431373,0.196078,0.0131634,0.0131634
0.45098,0.196078,0.00943829,0.00943827
0.470588,0.196078,0.00567733,0.00567732
0.490196,0.196078,0.00189484,0.00189484
0.509804,0.196078,-0.00189484,-0.00189484
0.529412,0.196078,-0.00567733,-0.00567732
0.54902,0.196078,-0.00943829,-0.00943827
0.568627,0.196078,-0.0131634,-0.0131634
0.588235,0.196078,-0.0168387,-0.0168386
0.607843,0.196078,-0.02045,-0.02045
0.627451,0.196078,-0.0239838,-0.0239837
0.647059,0.196078,-0.0274266,-0.0274265
0.666667,0.196078,-0.0307653,-0.0307653
0.686275,0.196078,-0.0339874,-0.0339873
0.705882,0.196078,-0.0370805,-0.0370804
0.72549,0.196078,-0.040033,-0.0400329
0.745098,0.196078,-0.0428336,-0.0428335
0.764706,0.196078,-0.0454717,-0.0454716
0.784314,0.196078,-0.0479373,-0.0479372
0.803922,0.196078,-0.0502211,-0.050221
0.823529,0.196078,-0.0523144,-0.0523143
0.843137,0.196078,-0.0542093,-0.0542092
0.862745,0.196078,-0.0558985,-0.0558984
0.882353,0.196078,-0.0573756,-0.0573755
0.901961,0.196078,-0.0586352,-0.058635
0.921569,0.196078,-0.0596722,-0.0596721
0.941176,0.196078,-0.060483,-0.0604829
0.960784,0.196078,-0.0610643,-0.0610642
0.980392,0.196078,-0.061414,-0.0614138
0.0196078,0.215686,-0.243331,-0.243331
0.0392157,0.215686,-0.241946,-0.241946
0.0588235,0.215686,-0.239643,-0.239642
0.0784314,0.215686,-0.236431,-0.23643
0.0980392,0.215686,-0.232321,-0.232321
0.117647,0.215686,-0.227331,-0.227331
0.137255,0.215686,-0.221478,-0.221478
0.156863,0.215686,-0.214785,-0.214785
0.176471,0.215686,-0.207278,-0.207277
0.196078,0.215686,-0.198984,-0.198983
0.215686,0.215686,-0.189935,-0.189935
0.235294,0.215686,-0.180166,-0.180165
0.254902,0.215686,-0.169713,-0.169713
0.27451,0.215686,-0.158617,-0.158616
0.294118,0.215686,-0.146919,-0.146918
0.313725,0.215686,-0.134663,-0.134663
0.333333,0.215686,-0.121897,-0.121897
0.352941,0.215686,-0.108668,-0.108668
0.372549,0.215686,-0.0950274,-0.0950272
0.392157,0.215686,-0.0810261,-0.0810259
0.411765,0.215686,-0.0667174,-0.0667172
0.431373,0.215686,-0.0521556,-0.0521555
0.45098,0.215686,-0.0373959,-0.0373959
0.470588,0.215686,-0.0224945,-0.0224944
0.490196,0.215686,-0.00750765,-0.00750763
0.509804,0.215686,0.00750765,0.00750763
0.529412,0.215686,0.0224945,0.0224944
0.54902,0.215686,0.0373959,0.0373959
0.568627,0.215686,0.0521556,0.0521555
0.588235,0.215686,0.0667174,0.0667172
0.607843,0.215686,0.0810261,0.0810259
0.627451,0.215686,0.0950274,0.0950272
0.647059,0.215686,0.108668,0.108668
0.666667,0.215686,0.121897,0.121897
0.686275,0.215686,0.134663,0.134663
0.705882,0.215686,0.146919,0.146918
0.72549,0.215686,0.158617,0.158616
0.745098,0.215686,0.169713,0.169713
0.764706,0.215686,0.180166,0.180165
0.784314,0.215686,0.189935,0.189935
0.803922,0.215686,0.198984,0.198983
0.823529,0.215686,0.207278,0.207277
0.843137,0.215686,0.214785,0.214785
0.862745,0.215686,0.221478,0.221478
0.882353,0.215686,0.227331,0.227331
0.901961,0.215686,0.232321,0.232321
0.921569,0.215686,0.236431,0.23643
0.941176,0.215686,0.239643,0.239642
0.960784,0.215686,0.241946,0.241946
0.980392,0.215686,0.243331,0.243331
0.0196078,0.235294,-0.525176,-0.525174
0.0392157,0.235294,-0.522185,-0.522184
0.0588235,0.235294,-0.517214,-0.517213
0.0784314,0.235294,-0.510281,-0.51028
0.0980392,0.235294,-0.501413,-0.501412
0.117647,0.235294,-0.490642,-0.490641
0.137255,0.235294,-0.47801,-0.478009
0.156863,0.235294,-0.463565,-0.463564
0.176471,0.235294,-0.447362,-0.447361
0.196078,0.235294,-0.429461,-0.42946
0.215686,0.235294,-0.409932,-0.409931
0.235294,0.235294,-0.388847,-0.388846
0.254902,0.235294,-0.366287,-0.366286
0.27451,0.235294,-0.342338,-0.342337
0.294118,0.235294,-0.31709,-0.31709
0.313725,0.235294,-0.29064,-0.290639
0.333333,0.235294,-0.263087,-0.263086
0.352941,0.235294,-0.234536,-0.234535
0.372549,0.235294,-0.205095,-0.205095
0.392157,0.235294,-0.174876,-0.174876
0.411765,0.235294,-0.143994,-0.143994
0.431373,0.235294,-0.112566,-0.112566
0.45098,0.235294,-0.0807106,-0.0807105
0.470588,0.235294,-0.0485492,-0.0485491
0.490196,0.235294,-0.0162035,-0.0162035
0.509804,0.235294,0.0162035,0.0162035
0.529412,0.235294,0.0485492,0.0485491
0.54902,0.235294,0.0807106,0.0807105
0.568627,0.235294,0.112566,0.112566
0.588235,0.235294,0.143994,0.143994
0.607843,0.235294,0.174876,0.174876
0.627451,0.235294,0.205095,0.205095
0.647059,0.235294,0.234536,0.234535
0.666667,0.235294,0.263087,0.263086
0.686275,0.235294,0.29064,0.290639
0.705882,0.235294,0.31709,0.31709
0.72549,0.235294,0.342338,0.342337
0.745098,0.235294,0.366287,0.366286
0.764706,0.235294,0.388847,0.388846
0.784314,0.235294,0.409932,0.409931
0.803922,0.235294,0.429461,0.42946
0.823529,0.235294,0.447362,0.447361
0.843137,0.235294,0.463565,0.463564
0.862745,0.235294,0.47801,0.478009
0.882353,0.235294,0.490642,0.490641
0.901961,0.235294,0.501413,0.501412
0.921569,0.235294,0.510281,0.51028
0.941176,0.235294,0.517214,0.517213
0.960784,0.235294,0.522185,0.522184
0.980392,0.235294,0.525176,0.525174
0.0196078,0.254902,-0.757592,-0.757591
0.0392157,0.254902,-0.753279,-0.753277
0.0588235,0.254902,-0.746108,-0.746106
0.0784314,0.254902,-0.736107,-0.736105
0.0980392,0.254902,-0.723313,-0.723312
0.117647,0.254902,-0.707776,-0.707775
0.137255,0.254902,-0.689554,-0.689553
0.156863,0.254902,-0.668716,-0.668715
0.176471,0.254902,-0.645342,-0.645341
0.196078,0.254902,-0.619519,-0.619518
0.215686,0.254902,-0.591347,-0.591346
0.235294,0.254902,-0.560931,-0.56093
0.254902,0.254902,-0.528388,-0.528387
0.27451,0.254902,-0.49384,-0.493839
0.294118,0.254902,-0.457419,-0.457418
0.313725,0.254902,-0.419263,-0.419262
0.333333,0.254902,-0.379516,-0.379515
0.352941,0.254902,-0.33833,-0.338329
0.372549,0.254902,-0.29586,-0.295859
0.392157,0.254902,-0.252268,-0.252267
0.411765,0.254902,-0.207719,-0.207718
0.431373,0.254902,-0.162382,-0.162382
0.45098,0.254902,-0.116429,-0.116429
0.470588,0.254902,-0.0700346,-0.0700345
0.490196,0.254902,-0.0233744,-0.0233744
0.509804,0.254902,0.0233744,0.0233744
0.529412,0.254902,0.0700346,0.0700345
0.54902,0.254902,0.116429,0.116429
0.568627,0.254902,0.162382,0.162382
0.588235,0.254902,0.207719,0.207718
0.607843,0.254902,0.252268,0.252267
0.627451,0.254902,0.29586,0.295859
0.647059,0.254902,0.33833,0.338329
0.666667,0.254902,0.379516,0.379515
0.686275,0.254902,0.419263,0.419262
0.705882,0.254902,0.457419,0.457418
